title,funder,type,start,end,award_in_pounds,lead_org,lead_org_dept,lead_org_address,lead_org_postcode,lead_org_region,grant_holder_firstname,grant_holder_othernames,grant_holder_surname,gtr_project_reference,gtr_url
DTP - University of Surrey,EPSRC,DTP,2015-10-01,2019-09-30,1177740,University of Surrey,Finance and Financial Management,"Registry, Stag Hill, Guildford, Surrey, GU2 7XH, South East, United Kingdom",GU2 7XH,South East,Richard,,Bowden,EP/M508160/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508160%2F1
STFC Newcastle 2015 DTP,STFC,DTP,2015-10-01,2020-09-30,144510,Newcastle University,Mathematics and Statistics,"1 Park Terrace, Newcastle Upon Tyne, Tyne and Wear, NE1 7RU, North East, United Kingdom",NE1 7RU,North East,Robin,,Henderson,ST/N504191/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504191%2F1
STFC Strathclyde 2015 DTP,STFC,DTP,2015-10-01,2023-09-30,144510,University of Strathclyde,Physics,"16 Richmond Street, Glasgow, G1 1XQ, Scotland, United Kingdom",G1 1XQ,Scotland,Erling,,Riis,ST/N504439/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504439%2F1
STFC Armagh 2015 DTP,STFC,DTP,2015-10-19,2020-10-18,144510,Armagh Observatory,Astronomy,"College Hill, Armagh, County Armagh, BT61 9DG, Northern Ireland, United Kingdom",BT61 9DG,Northern Ireland,Mark Edward,,Bailey,ST/N503927/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN503927%2F1
STFC Lancaster 2015 DTP,STFC,DTP,2015-10-01,2020-09-30,347880,Lancaster University,Physics,"University House, Lancaster, Lancashire, LA1 4YW, North West, United Kingdom",LA1 4YW,North West,Roger,William,Jones,ST/N504385/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504385%2F1
DTP - University of Sussex,EPSRC,DTP,2015-10-01,2019-09-30,415241,University of Sussex,Research Finance,"The Administration, Sussex House, Falmer, Brighton, East Sussex, BN1 9RH, South East, United Kingdom",BN1 9RH,South East,Linda,,Allfrey,EP/M508172/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508172%2F1
STFC UCLan 2015 DTP,STFC,DTP,2015-10-01,2020-09-30,361275,University of Central Lancashire,Jeremiah Horrocks Institute,"Preston, Lancashire, PR1 2HE, North West, United Kingdom",PR1 2HE,North West,Derek,,Ward-Thompson,ST/N504014/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504014%2F1
STFC Open 2015 DTP,STFC,DTP,2015-10-01,2020-09-30,794805,Open University,Physical Sciences,"Walton Hall, Walton, Milton Keynes, Buckinghamshire, MK7 6AA, South East, United Kingdom",MK7 6AA,South East,Monica,Mary,Grady,ST/N50421X/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN50421X%2F1
DTP - University of Leeds,EPSRC,DTP,2015-10-01,2019-09-30,2523770,University of Leeds,Research Student Administration,"University of Leeds, Leeds, West Yorkshire, LS2 9JT, Yorkshire and The Humber, United Kingdom",LS2 9JT,Yorkshire and The Humber,Caroline,Fiona,Neave,EP/M50807X/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM50807X%2F1
DTP - University of Reading,EPSRC,DTP,2015-10-01,2019-09-30,661457,University of Reading,Finance Office,"Whiteknights House, PO Box 217, Reading, Berkshire, RG6 6AH, South East, United Kingdom",RG6 6AH,South East,Jonathan,David,Lloyd,EP/M508123/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508123%2F1
DTP - University of Birmingham,EPSRC,DTP,2015-10-01,2019-09-30,1991680,University of Birmingham,Personnel Services,"Edgbaston Park Road, Edgbaston, B15 2TT, West Midlands, United Kingdom",B15 2TT,West Midlands,Tara,,Wittin,EP/M508202/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508202%2F1
DTP - University of Bristol,EPSRC,DTP,2015-10-01,2019-09-30,3833650,University of Bristol,Senior Faculty Accountant,"Senate House, Bristol, Avon, BS8 1TH, South West, United Kingdom",BS8 1TH,South West,Jane,,FitzWalter,EP/M507994/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM507994%2F1
DTP - University of Southampton,EPSRC,DTP,2015-10-01,2019-09-30,5427140,University of Southampton,Research and Innovation Services,"Administration Building, Highfield, Southampton, Hampshire, SO17 1BJ, South East, United Kingdom",SO17 1BJ,South East,Philip,,Jewell,EP/M508147/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508147%2F1
DTP - University of Liverpool,EPSRC,DTP,2015-10-01,2019-09-30,1776640,University of Liverpool,Graduate School,"Senate House, Abercromby Square, Liverpool, L69 3BX, North West, United Kingdom",L69 3BX,North West,Debbie,,Henderson,EP/M508093/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508093%2F1
DTP - University College London,EPSRC,DTP,2015-10-01,2019-09-30,7149810,University College London,Research Services,"Gower Street, London, WC1E 6BT, London, United Kingdom",WC1E 6BT,London,Ian David Lockhart,,Bogle,EP/M507970/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM507970%2F1
DTP - University of York,EPSRC,DTP,2015-10-01,2019-09-30,1387550,University of York,Physics,"Heslington, York, North Yorkshire, YO10 5DD, Yorkshire and The Humber, United Kingdom",YO10 5DD,Yorkshire and The Humber,Brian,,Fulton,EP/M508196/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508196%2F1
STFC Kent 2015 DTP,STFC,DTP,2015-10-01,2020-09-30,72255,University of Kent,Sch of Physical Sciences,"The Registry, Canterbury, Kent, CT2 7NZ, South East, United Kingdom",CT2 7NZ,South East,Mark,,Green,ST/N50435X/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN50435X%2F1
DTP - Lancaster University,EPSRC,DTP,2015-10-01,2019-09-30,982367,Lancaster University,Computing & Communications,"University House, Lancaster, Lancashire, LA1 4YW, North West, United Kingdom",LA1 4YW,North West,Chris,,Edwards,EP/M507891/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM507891%2F1
DTP - King's College London,EPSRC,DTP,2015-10-01,2019-09-30,921850,King's College London,King's College London Central Offices,"Capital House, 2nd Floor, Guys Campus, 42 Weston Street, London, SE1 3QD, London, United Kingdom",SE1 3QD,London,Jennie,,Eldridge,EP/M50788X/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM50788X%2F1
STFC Leicester 2015 DTP,STFC,DTP,2015-10-01,2020-09-30,1372840,University of Leicester,Physics and Astronomy,"University Road, Leicester, Leicestershire, LE1 7RH, East Midlands, United Kingdom",LE1 7RH,East Midlands,Paul,Thomas,O'Brien,ST/N504117/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504117%2F1
DTP - Loughborough University,EPSRC,DTP,2015-10-01,2019-09-30,916227,Loughborough University,Research Student Office,"Loughborough University, Loughborough, Leicestershire, LE11 3TU, East Midlands, United Kingdom",LE11 3TU,East Midlands,Brigette,,Vale,EP/M507908/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM507908%2F1
DTP - Cardiff University,EPSRC,DTP,2015-10-01,2019-09-30,1151710,Cardiff University,Registry,"Research & Consultancy, PO Box 923, Cardiff, South Glamorgan, CF10 3TE, Wales, United Kingdom",CF10 3TE,Wales,Rhian,Wyn,Phillips,EP/M507842/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM507842%2F1
DTP - University of Edinburgh,EPSRC,DTP,2015-10-01,2019-09-30,3235920,University of Edinburgh,College of Science and Engineering,"Old College, South Bridge, Mayfield Road, Edinburgh, EH8 9YL, Scotland, United Kingdom",EH8 9YL,Scotland,Julia,Miller,Ferguson,EP/M508032/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508032%2F1
DTP - Imperial College London,EPSRC,DTP,2015-10-01,2019-09-30,8355170,Imperial College London,Research Office,"South Kensington Campus, Exhibition Road, London, SW7 2AZ, London, United Kingdom",SW7 2AZ,London,Malcolm,,Aldridge,EP/M507878/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM507878%2F1
DTP - University of Nottingham,EPSRC,DTP,2015-10-01,2019-09-30,2176740,University of Nottingham,Research and Graduate Services,"University Park, Nottingham, Nottinghamshire, NG7 2RD, East Midlands, United Kingdom",NG7 2RD,East Midlands,Richard,,Masterman,EP/M50810X/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM50810X%2F1
STFC Exeter 2015 DTP,STFC,DTP,2015-10-01,2020-09-30,361275,University of Exeter,Physics,"University of Exeter, Clydesdale House, Clydesdale Road, Exeter, EX4 4QX, South West, United Kingdom",EX4 4QX,South West,William,Leslie,Barnes,ST/N504063/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504063%2F1
STFC QMUL 2015 DTP,STFC,DTP,2015-10-01,2020-09-30,1060730,"Queen Mary, University of London",Physics,"Mile End Road, London, E1 4NS, London, United Kingdom",E1 4NS,London,Stephen,,Lloyd,ST/N504257/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504257%2F1
STFC Bristol 2015 DTP,STFC,DTP,2015-10-01,2020-09-30,472772,University of Bristol,Physics,"Senate House, Bristol, Avon, BS8 1TH, South West, United Kingdom",BS8 1TH,South West,James,,Annett,ST/N503952/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN503952%2F1
DTP - University of Glasgow,EPSRC,DTP,2015-10-01,2019-09-30,2854310,University of Glasgow,Research and Enterprise,"University Avenue, Glasgow, G12 8QQ, Scotland, United Kingdom",G12 8QQ,Scotland,Mary Beth,,Kneafsey,EP/M508056/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508056%2F1
STFC Nottingham 2015 DTP,STFC,DTP,2015-10-01,2020-09-30,426046,University of Nottingham,Sch of Physics & Astronomy,"University Park, Nottingham, Nottinghamshire, NG7 2RD, East Midlands, United Kingdom",NG7 2RD,East Midlands,Michael,Ralph,Merrifield,ST/N504208/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504208%2F1
STFC Swansea 2015 DTP,STFC,DTP,2015-10-01,2020-09-30,279042,Swansea University,College of Science,"Singleton Park, SA2 8PP, Wales, United Kingdom",SA2 8PP,Wales,Graham,,Shore,ST/N504464/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504464%2F1
STFC Cardiff 2015 DTP,STFC,DTP,2015-10-01,2020-09-30,510668,Cardiff University,School of Physics and Astronomy,"Research & Consultancy, PO Box 923, Cardiff, South Glamorgan, CF10 3TE, Wales, United Kingdom",CF10 3TE,Wales,Matt,,Griffin,ST/N504002/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504002%2F1
DTP - University of Kent,EPSRC,DTP,2015-10-01,2019-09-30,336094,University of Kent,Admissions and Partnership Services,"The Registry, Canterbury, Kent, CT2 7NZ, South East, United Kingdom",CT2 7NZ,South East,Mary,Patrica,Hughes,EP/M508068/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508068%2F1
DTP - University of Dundee,EPSRC,DTP,2015-10-01,2019-09-30,328366,University of Dundee,Executive,"University of Dundee, Nethergate, DD1 4HN, Scotland, United Kingdom",DD1 4HN,Scotland,Martin,,Glover,EP/M508019/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508019%2F1
STFC Sussex 2015 DTP,STFC,DTP,2015-10-01,2020-09-30,579847,University of Sussex,Sch of Mathematical & Physical Sciences,"The Administration, Sussex House, Falmer, Brighton, East Sussex, BN1 9RH, South East, United Kingdom",BN1 9RH,South East,Sebastian,,Jaeger,ST/N504452/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504452%2F1
STFC Surrey 2015 DTP,STFC,DTP,2015-10-01,2020-09-30,319468,University of Surrey,Physics,"Registry, Stag Hill, Guildford, Surrey, GU2 7XH, South East, United Kingdom",GU2 7XH,South East,Paul,Jonathan,Sellin,ST/N504440/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504440%2F1
DTP - University of Cambridge,EPSRC,DTP,2015-10-01,2019-09-30,6172770,University of Cambridge,Board of Graduate Studies,"Lensfield Road, Cambridge, CB2 1EW, East of England, United Kingdom",CB2 1EW,East of England,Noel Antony,,Rutter,EP/M508007/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508007%2F1
STFC Dundee 2015 DTP,STFC,DTP,2016-09-12,2021-09-11,72255,University of Dundee,Mathematics,"University of Dundee, Nethergate, DD1 4HN, Scotland, United Kingdom",DD1 4HN,Scotland,Fordyce,Alexander,Davidson,ST/N504026/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504026%2F1
DTP - University of Strathclyde,EPSRC,DTP,2015-10-01,2019-09-30,1609810,University of Strathclyde,Research and Knowledge Exchange Services,"16 Richmond Street, Glasgow, G1 1XQ, Scotland, United Kingdom",G1 1XQ,Scotland,Craig,,Young,EP/M508159/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508159%2F1
STFC Birmingham 2015 DTP,STFC,DTP,2015-10-01,2020-09-30,890851,University of Birmingham,School of Physics and Astronomy,"Edgbaston Park Road, Edgbaston, B15 2TT, West Midlands, United Kingdom",B15 2TT,West Midlands,Andrew John,,Schofield,ST/N503939/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN503939%2F1
STFC LJMU 2015 DTP,STFC,DTP,2015-10-01,2020-09-30,578040,Liverpool John Moores University,Astrophysics Research Institute,"Egerton Court, No 2 Rodney Street, Liverpool, L3 5UX, North West, United Kingdom",L3 5UX,North West,MF,,Bode,ST/N504154/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504154%2F1
DTP - University of Leicester,EPSRC,DTP,2015-10-01,2019-09-30,360227,University of Leicester,Finance Office,"University Road, Leicester, Leicestershire, LE1 7RH, East Midlands, United Kingdom",LE1 7RH,East Midlands,Ruth,Susan,Daly,EP/M508081/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508081%2F1
STFC York 2015 DTP,STFC,DTP,2015-10-01,2020-09-30,236422,University of York,Physics,"Heslington, York, North Yorkshire, YO10 5DD, Yorkshire and The Humber, United Kingdom",YO10 5DD,Yorkshire and The Humber,Sarah,Madeleine,Thompson,ST/N50452X/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN50452X%2F1
DTP - Swansea University,EPSRC,DTP,2015-09-18,2019-09-17,438854,Swansea University,Research and Innovation,"Singleton Park, SA2 8PP, Wales, United Kingdom",SA2 8PP,Wales,Julie,Elizabeth,Pugsley,EP/M507957/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM507957%2F1
STFC Portsmouth 2015 DTP,STFC,DTP,2015-10-01,2020-09-30,433530,University of Portsmouth,Institute of Cosmology and Gravitation,"University House, Winston Churchill Avenue, Portsmouth, Hampshire, PO1 2UP, South East, United Kingdom",PO1 2UP,South East,David,Graham,Wands,ST/N504245/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504245%2F1
STFC Edinburgh 2015 DTP,STFC,DTP,2015-10-01,2020-09-30,1406180,University of Edinburgh,Sch of Physics and Astronomy,"Old College, South Bridge, Mayfield Road, Edinburgh, EH8 9YL, Scotland, United Kingdom",EH8 9YL,Scotland,Arthur,Stewart,Trew,ST/N504051/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504051%2F1
STFC Aberystwyth 2015 DTP,STFC,DTP,2015-10-01,2020-09-30,72255,Aberystwyth University,Inst of Mathematical and Physical Sci,"Old College, King Street, Ceredigion, Aberystwyth, Dyfed, SY23 2AX, Wales, United Kingdom",SY23 2AX,Wales,Andy,,Evans,ST/N503915/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN503915%2F1
DTP - Newcastle University,EPSRC,DTP,2015-10-01,2019-09-30,1766210,Newcastle University,Research and Enterprise Services,"1 Park Terrace, Newcastle Upon Tyne, Tyne and Wear, NE1 7RU, North East, United Kingdom",NE1 7RU,North East,Nicky,M,Houghton,EP/M50791X/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM50791X%2F1
STFC Hertfordshire 2015 DTP,STFC,DTP,2015-10-01,2020-09-30,361275,University of Hertfordshire,"School of Physics, Astronomy and Maths","Hatfield Campus, College Lane, Hatfield, Hertfordshire, AL10 9AB, East of England, United Kingdom",AL10 9AB,East of England,Martin,John,Hardcastle,ST/N504105/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504105%2F1
STFC NHM 2015 DTP,STFC,DTP,2016-02-01,2021-01-31,158510,The Natural History Museum,Earth Sciences,"Cromwell Road, London, SW7 5BD, London, United Kingdom",SW7 5BD,London,Richard Jeremy,,Herrington,ST/N50418X/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN50418X%2F1
STFC Brunel 2015 DTP,STFC,DTP,2015-10-01,2020-09-30,91132,Brunel University,Sch of Engineering and Design,"Brunel University, Uxbridge, Middlesex, UB8 3PH, London, United Kingdom",UB8 3PH,London,Peter,Robert,Hobson,ST/N503964/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN503964%2F1
DTP - University of Warwick,EPSRC,DTP,2015-10-01,2019-09-30,2821030,University of Warwick,Research Support Services,"Warwickshire, Coventry, West Midlands, CV4 7AL, West Midlands, United Kingdom",CV4 7AL,West Midlands,Dan,,Pearson,EP/M508184/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508184%2F1
STFC Warwick 2015 DTP,STFC,DTP,2015-10-01,2020-09-30,830791,University of Warwick,Physics,"Warwickshire, Coventry, West Midlands, CV4 7AL, West Midlands, United Kingdom",CV4 7AL,West Midlands,David,R,Leadley,ST/N504506/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504506%2F1
DTP - Durham University,EPSRC,DTP,2015-10-01,2019-09-30,1254950,Durham University,Student Financial Support,"Old Shire Hall, Old Elvet, Durham, County Durham, DH1 3HP, North East, United Kingdom",DH1 3HP,North East,Andrea,,Bailey,EP/M507854/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM507854%2F1
DTP - University of Bath,EPSRC,DTP,2015-10-01,2019-09-30,1954800,University of Bath,Research Support,"University of Bath, Claverton Down, Bath, Avon, BA2 7AY, South West, United Kingdom",BA2 7AY,South West,Karen,,Toogood,EP/M507982/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM507982%2F1
DTP - University of Oxford,EPSRC,DTP,2015-10-01,2019-09-30,4945300,University of Oxford,Oxford Physics,"University Chest, Wellington Square, Oxford, OX1 2JD, South East, United Kingdom",OX1 2JD,South East,Martin,,Williams,EP/M508111/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508111%2F1
DTP - Heriot-Watt University,EPSRC,DTP,2015-10-01,2019-09-30,1155870,Heriot-Watt University,Technology and Research Services,"Administration Building, Riccarton, Ricarton, Currie, EH14 4AS, Scotland, United Kingdom",EH14 4AS,Scotland,Alan,,Miller,EP/M507866/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM507866%2F1
DTP - University of Sheffield,EPSRC,DTP,2015-10-01,2019-09-30,3558960,University of Sheffield,Research Finance,"Firth Court, Western Bank, Sheffield, South Yorkshire, S10 2TN, Yorkshire and The Humber, United Kingdom",S10 2TN,Yorkshire and The Humber,Kirsty,Louise,Lindley,EP/M508135/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508135%2F1
STFC RHUL 2015 DTP,STFC,DTP,2015-10-01,2020-09-30,422857,"Royal Holloway, University of London",Physics,"Egham Hill, Egham, Surrey, TW20 0EX, South East, United Kingdom",TW20 0EX,South East,Pedro,,Teixeira-Dias,ST/N504269/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504269%2F1
White Rose Doctoral Training Partnership in Mechanistic Biology and its Strategic Application,BBSRC,DTP,2015-10-01,2023-09-30,10864500,University of Leeds,Inst of Molecular & Cellular Biology,"University of Leeds, Leeds, West Yorkshire, LS2 9JT, Yorkshire and The Humber, United Kingdom",LS2 9JT,Yorkshire and The Humber,Michelle,,Peckham,BB/M011151/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FM011151%2F1
STFC Cambridge DAMTP 2015 DTP,STFC,DTP,2015-10-01,2020-09-30,854588,University of Cambridge,Applied Maths and Theoretical Physics,"Lensfield Road, Cambridge, CB2 1EW, East of England, United Kingdom",CB2 1EW,East of England,Peter Howard,,Haynes,ST/N503976/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN503976%2F1
STFC Leeds Physics 2015 DTP,STFC,DTP,2015-10-01,2020-09-30,216765,University of Leeds,Physics and Astronomy,"University of Leeds, Leeds, West Yorkshire, LS2 9JT, Yorkshire and The Humber, United Kingdom",LS2 9JT,Yorkshire and The Humber,Thomas,,Hartquist,ST/N504403/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504403%2F1
STFC Southampton Maths 2015 DTP,STFC,DTP,2015-10-01,2020-09-30,144510,University of Southampton,School of Mathematics,"Administration Building, Highfield, Southampton, Hampshire, SO17 1BJ, South East, United Kingdom",SO17 1BJ,South East,James,Alastair,Vickers,ST/N504294/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504294%2F1
DTP - Queen's University of Belfast,EPSRC,DTP,2015-10-01,2019-09-30,1805550,Queen's University of Belfast,Research and Regional Services,"University Road, Belfast, County Antrim, BT7 1NN, Northern Ireland, United Kingdom",BT7 1NN,Northern Ireland,Mark,,Kelly,EP/M507933/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM507933%2F1
STFC Liverpool Physics 2015 DTP,STFC,DTP,2015-10-01,2020-09-30,989653,University of Liverpool,Physics,"Senate House, Abercromby Square, Liverpool, L69 3BX, North West, United Kingdom",L69 3BX,North West,Timothy,,Greenshaw,ST/N504142/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504142%2F1
STFC Cambridge IoA 2015 DTP,STFC,DTP,2015-10-01,2020-09-30,1228340,University of Cambridge,Institute of Astronomy,"Lensfield Road, Cambridge, CB2 1EW, East of England, United Kingdom",CB2 1EW,East of England,Andrew,,Fabian,ST/N503988/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN503988%2F1
DTP - University of St Andrews,EPSRC,DTP,2015-10-01,2019-09-30,1958110,University of St Andrews,Psychology,"College Gate, St. Andrews, Fife, KY16 9AJ, Scotland, United Kingdom",KY16 9AJ,Scotland,Malcolm,,MacLeod,EP/M508214/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508214%2F1
STFC Kings Maths 2015 DTP,STFC,DTP,2015-10-01,2020-09-30,230282,King's College London,Mathematics,"Capital House, 2nd Floor, Guys Campus, 42 Weston Street, London, SE1 3QD, London, United Kingdom",SE1 3QD,London,Peter,Christopher,West,ST/N504361/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504361%2F1
STFC Oxford Earth 2015 DTP,STFC,DTP,2015-10-01,2020-09-30,144510,University of Oxford,Earth Sciences,"University Chest, Wellington Square, Oxford, OX1 2JD, South East, United Kingdom",OX1 2JD,South East,Gideon,,Henderson,ST/N504221/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504221%2F1
STFC Cambridge Physics 2015 DTP,STFC,DTP,2015-10-01,2020-09-30,756597,University of Cambridge,Physics,"Lensfield Road, Cambridge, CB2 1EW, East of England, United Kingdom",CB2 1EW,East of England,Michael Andrew,,Parker,ST/N50399X/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN50399X%2F1
STFC Imperial Physics 2015 DTP,STFC,DTP,2015-10-01,2020-09-30,2276520,Imperial College London,Dept of Physics,"South Kensington Campus, Exhibition Road, London, SW7 2AZ, London, United Kingdom",SW7 2AZ,London,Jordan,,Nash,ST/N504336/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504336%2F1
